B0006|200|2023-09-21|AD0001
B0002|-2|2023-09-21|AD0001
B0001|-20|2023-09-21|AD0001
S0001|-5|2023-09-21|AD0001
S0001|1|2023-09-21|AD0001
S0001|-1|2023-09-21|AD0001
B0001|90|2023-09-21|AD0001
B0007|10|2023-09-25|AD0001
B0007|-10|2023-09-25|AD0001
B0007|20|2023-09-25|AD0001
S0005|-20|2023-09-25|AD0001
B0001|-20|2023-09-25|AD0001
B0002|-20|2023-09-25|AD0001
B0001|-20|2023-09-25|AD0001
B0001|40|2023-09-25|AD0001
B0002|20|2023-09-25|AD0001
B0001|-10|2023-09-25|AD0001
B0001|-80|2023-09-25|AD0001
B0001|300|2023-09-25|AD0001
S0005|20|2023-09-25|AD0001
B0008|100|2023-09-26|AD0001
