<<<<<<< Updated upstream
T0001|Cash|I0002|2023-09-06 22:27:42
T0002|Cash|I0002|2023-09-06 22:35:11
T0003|Cash|I0003|2023-09-08 11:59:07
T0004|Cash|I0004|2023-09-15 09:47:36
=======
T0001|Bank|I0001|2023-08-22 10:00:00
T0002|Ewallet|I0002|2023-08-22 18:27:56
T0003|Bank|I0003|2023-08-23 08:15:19
T0004|Cash|I0004|2023-08-23 09:04:23
T0005|Cash|I0005|2023-08-23 10:00:00
T0006|Bank|I0006|2023-08-24 22:20:57
T0007|Bank|I0007|2023-08-24 22:26:34
T0008|Bank|I0008|2023-08-24 22:44:21
T0009|Ewallet|I0008|2023-08-24 22:44:59
T0010|Ewallet|I0010|2023-08-25 14:55:02
T0011|Ewallet|I0011|2023-08-25 14:57:36
T0012|Cash|I0012|2023-08-25 15:02:45
T0013|Ewallet|I0013|2023-08-25 15:05:25
T0014|Ewallet|I0002|2023-09-06 20:03:58
>>>>>>> Stashed changes
